실적RN,실적매출(원),ADR,비고
257,47185000,183599,
517,103955000,201074,
266,65074000,244639,
1693,351877000,207842,
1121,216336000,192985,
534,89539000,167676,중복
207,40427000,195300,
489,115595000,236391,
875,198526000,226887,
1166,189470000,162496,
140,24118000,172271,
474,68428000,144363,
534,89539000,167676,중복
169,30800000,182249,
125,27496000,219968,
471,97922000,207902,
218,44396000,203651,중복
505,122793000,243154,
278,62541000,224968,
178,23542000,132258,
218,44396000,203651,중복
259,54900000,211969,
881,206616000,234524,중복
336,66197649,197017,중복
88,20742178,235707,
26,5119000,196885,
149,34102000,228872,
439,71007000,161747,
68,14975000,220221,
374,80699000,215773,
26,9134000,351308,중복
336,66197649,197017,중복
359,87569000,243925,
365,77601000,212605,중복
510,106097125,208034,
546,101432000,185773,
309,72994000,236227,
251,50855000,202610,
35,7700000,220000,
910,306279000,336570,
68,17707000,260397,
607,108235000,178311,중복
288,59265000,205781,
607,108235000,178311,중복
131,31274000,238733,
477,88240000,184990,중복
45,8753000,194511,
71,15747658,221798,
259,52970000,204517,
881,206616000,234524,중복
510,83516000,163757,
477,88240000,184990,중복
331,86736745,262045,중복
350,55765000,159329,
498,83866000,168406,중복
39,7702000,197487,
864,262829000,304200,
354,75666000,213746,중복
256,72797036,284363,
320,73870000,230844,
425,67476000,158767,
530,107683000,203175,
281,43922000,156306,
40,7049750,176244,
498,83866000,168406,중복
1133,195369000,172435,
230,35604000,154800,
119,30628000,257378,
380,118403455,311588,
354,75666000,213746,중복
232,43477000,187401,
245,71097000,290192,
196,45603000,232668,
572,117816986,205974,
457,132888000,290783,
692,121249000,175215,
844,200813000,237930,중복
760,168658000,221918,
1001,384544000,384160,중복
19,7241000,381105,
1093,418662000,383039,중복
217,62078000,286074,
745,237309555,318536,
844,200813000,237930,중복
1846,464103000,251410,
328,91352613,278514,
144,44795000,311076,
390,105192000,269723,
598,181644000,303753,
331,86736745,262045,중복
286,81257000,284115,
2530,727358000,287493,
632,142166000,224946,
130,31215000,240115,
231,85020283,368053,
274,79737000,291011,
266,74785000,281147,
144,56365542,391427,
260,75180484,289156,
299,85217000,285007,
394,99458000,252431,
613,146893000,239630,
155,34946000,225458,
1117,362735000,324740,
763,181582000,237984,
295,79346000,268969,
392,165714000,422740,
304,77596000,255250,
316,87838756,277971,
37,13283000,359000,
1011,239013053,236413,
252,69686000,276532,
54,14092000,260963,
419,139417000,332737,
128,34901410,272667,
38,6840000,180000,
519,129148000,248840,
297,60861000,204919,
573,133295000,232627,
523,123218000,235598,
262,52781000,201454,
651,137065000,210545,
444,118888737,267767,
145,29090000,200621,
0,0,0,
0,0,0,
