,,,,,,,,,,,
,📋 패키지코드 연동 (시트명과 Key 번호를 맞춰주세요) ,,,,,,,,,,
,,,,,,,,,,,
,기획전명,비발디 프로모션,⚠  이 기획전명은 해당 값으로 리포트에 표기됩니다. 정확하게 입력해 주세요.,,,,,,,,
,카테고리,세일/기획전,▾  드롭다운에서 카테고리를 선택해 주세요. 리포트 분류 기준이 됩니다.,,,,,,,,
,,,,,,,,,,,
,📦  패키지코드  |  아래 영역에 엑셀 데이터를 그대로 붙여넣기 하세요.,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,2인 패키지,,,,,,,4인 패키지,,,
,구분,수수료,소노벨,소노캄,소노펫,,,구분,수수료,펠리체,빌리지
,기명/소노러스기명,0%,,86157114,,,,기명/소노러스기명,0%,,
,무기명/소노러스무기명,0%,,86157115,,,,무기명/소노러스무기명,0%,,
,오리지널기명,0%,86157106,86157116,86157232,,,오리지널기명,0%,86157160,86157189
,오리지널무기명,0%,86157107,86157117,86157233,,,오리지널무기명,0%,86157161,86157190
,D멤버스,0%,86157108,86157118,86157234,,,D멤버스,0%,86157162,
,국내OTA,11%,86157110,86157120,86157235,,,국내OTA,11%,86157164,86157193
,국내 - 네이버,0%,86157109,86157119,86157236,,,국내 - 네이버,0%,86157163,86157217
,국내 - 쿠팡,9.90%,86157111,86157121,86157237,,,국내 - 쿠팡,9.90%,86157165,86157192
,해외OTA,15%,86157112,86157122,86157238,,,해외OTA,15%,86157166,86157195
,해외OTA-트립비토즈 (캄12%),13%,86157113,86157123,86157239,,,해외OTA-트립비토즈,13%,86157167,86157194
,,,,,,,,,,,
,3인 패키지,,,,,,,5인 패키지,,,
,구분,수수료,소노벨,소노캄,소노펫,,,구분,수수료,펠리체,빌리지
,기명/소노러스기명,0%,,86157132,,,,기명/소노러스기명,0%,,
,무기명/소노러스무기명,0%,,86157133,,,,무기명/소노러스무기명,0%,,
,오리지널기명,0%,86157124,86157134,86157240,,,오리지널기명,0%,86157168,86157196
,오리지널무기명,0%,86157125,86157135,86157241,,,오리지널무기명,0%,86157169,86157197
,D멤버스,0%,86157126,86157136,86157242,,,D멤버스,0%,86157170,
,국내OTA,11%,86157128,86157138,86157243,,,국내OTA,11%,86157172,86157205
,국내 - 네이버,0%,86157127,86157137,86157244,,,국내 - 네이버,0%,86157171,86157191
,국내 - 쿠팡,9.90%,86157129,86157139,86157245,,,국내 - 쿠팡,9.90%,86157173,86157204
,해외OTA,15%,86157130,86157140,86157246,,,해외OTA,15%,86157174,86157207
,해외OTA-트립비토즈 (캄12%),13%,86157131,86157141,86157247,,,해외OTA-트립비토즈,13%,86157175,86157206
,,,,,,,,,,,
,4인 패키지,,,,,,,6인 패키지,,,
,구분,수수료,소노벨,소노캄,소노펫,,,구분,수수료,펠리체,빌리지
,기명/소노러스기명,0%,,86157150,,,,기명/소노러스기명,0%,,
,무기명/소노러스무기명,0%,,86157151,,,,무기명/소노러스무기명,0%,,
,오리지널기명,0%,86157142,86157152,86157248,,,오리지널기명,0%,86157176,86157209
,오리지널무기명,0%,86157143,86157153,86157249,,,오리지널무기명,0%,86157177,86157210
,D멤버스,0%,86157144,86157154,86157250,,,D멤버스,0%,86157178,
,국내OTA,11%,86157146,86157156,86157251,,,국내OTA,11%,86157180,86157212
,국내 - 네이버,0%,86157145,86157155,86157252,,,국내 - 네이버,0%,86157179,86157211
,국내 - 쿠팡,9.90%,86157147,86157157,86157253,,,국내 - 쿠팡,9.90%,86157181,86157208
,해외OTA,15%,86157148,86157158,86157254,,,해외OTA,15%,86157182,86157214
,해외OTA-트립비토즈 (캄12%),13%,86157149,86157159,86157255,,,해외OTA-트립비토즈,13%,86157183,86157213
